sorted_opacity shape: torch.Size([54, 1]), gauss_weight shape: torch.Size([64, 54])
sorted_opacity shape: torch.Size([62, 1]), gauss_weight shape: torch.Size([64, 62])
sorted_opacity shape: torch.Size([74, 1]), gauss_weight shape: torch.Size([64, 74])
sorted_opacity shape: torch.Size([84, 1]), gauss_weight shape: torch.Size([64, 84])
sorted_opacity shape: torch.Size([130, 1]), gauss_weight shape: torch.Size([64, 130])
sorted_opacity shape: torch.Size([211, 1]), gauss_weight shape: torch.Size([64, 211])
sorted_opacity shape: torch.Size([347, 1]), gauss_weight shape: torch.Size([64, 347])
sorted_opacity shape: torch.Size([496, 1]), gauss_weight shape: torch.Size([64, 496])
sorted_opacity shape: torch.Size([660, 1]), gauss_weight shape: torch.Size([64, 660])
sorted_opacity shape: torch.Size([819, 1]), gauss_weight shape: torch.Size([64, 819])
sorted_opacity shape: torch.Size([939, 1]), gauss_weight shape: torch.Size([64, 939])
sorted_opacity shape: torch.Size([1104, 1]), gauss_weight shape: torch.Size([64, 1104])
sorted_opacity shape: torch.Size([1267, 1]), gauss_weight shape: torch.Size([64, 1267])
sorted_opacity shape: torch.Size([1425, 1]), gauss_weight shape: torch.Size([64, 1425])
sorted_opacity shape: torch.Size([1635, 1]), gauss_weight shape: torch.Size([64, 1635])
sorted_opacity shape: torch.Size([1801, 1]), gauss_weight shape: torch.Size([64, 1801])
sorted_opacity shape: torch.Size([1929, 1]), gauss_weight shape: torch.Size([64, 1929])
sorted_opacity shape: torch.Size([2030, 1]), gauss_weight shape: torch.Size([64, 2030])
sorted_opacity shape: torch.Size([2076, 1]), gauss_weight shape: torch.Size([64, 2076])
sorted_opacity shape: torch.Size([2092, 1]), gauss_weight shape: torch.Size([64, 2092])
sorted_opacity shape: torch.Size([2021, 1]), gauss_weight shape: torch.Size([64, 2021])
sorted_opacity shape: torch.Size([1919, 1]), gauss_weight shape: torch.Size([64, 1919])
sorted_opacity shape: torch.Size([1774, 1]), gauss_weight shape: torch.Size([64, 1774])
sorted_opacity shape: torch.Size([1599, 1]), gauss_weight shape: torch.Size([64, 1599])
sorted_opacity shape: torch.Size([1445, 1]), gauss_weight shape: torch.Size([64, 1445])
