sorted_opacity shape: torch.Size([24, 1]), gauss_weight shape: torch.Size([64, 24])
sorted_opacity shape: torch.Size([22, 1]), gauss_weight shape: torch.Size([64, 22])
sorted_opacity shape: torch.Size([18, 1]), gauss_weight shape: torch.Size([64, 18])
sorted_opacity shape: torch.Size([15, 1]), gauss_weight shape: torch.Size([64, 15])
sorted_opacity shape: torch.Size([12, 1]), gauss_weight shape: torch.Size([64, 12])
sorted_opacity shape: torch.Size([16, 1]), gauss_weight shape: torch.Size([64, 16])
sorted_opacity shape: torch.Size([22, 1]), gauss_weight shape: torch.Size([64, 22])
sorted_opacity shape: torch.Size([25, 1]), gauss_weight shape: torch.Size([64, 25])
sorted_opacity shape: torch.Size([27, 1]), gauss_weight shape: torch.Size([64, 27])
sorted_opacity shape: torch.Size([34, 1]), gauss_weight shape: torch.Size([64, 34])
sorted_opacity shape: torch.Size([40, 1]), gauss_weight shape: torch.Size([64, 40])
sorted_opacity shape: torch.Size([46, 1]), gauss_weight shape: torch.Size([64, 46])
sorted_opacity shape: torch.Size([57, 1]), gauss_weight shape: torch.Size([64, 57])
sorted_opacity shape: torch.Size([82, 1]), gauss_weight shape: torch.Size([64, 82])
sorted_opacity shape: torch.Size([132, 1]), gauss_weight shape: torch.Size([64, 132])
sorted_opacity shape: torch.Size([212, 1]), gauss_weight shape: torch.Size([64, 212])
sorted_opacity shape: torch.Size([351, 1]), gauss_weight shape: torch.Size([64, 351])
sorted_opacity shape: torch.Size([540, 1]), gauss_weight shape: torch.Size([64, 540])
sorted_opacity shape: torch.Size([703, 1]), gauss_weight shape: torch.Size([64, 703])
sorted_opacity shape: torch.Size([858, 1]), gauss_weight shape: torch.Size([64, 858])
sorted_opacity shape: torch.Size([1037, 1]), gauss_weight shape: torch.Size([64, 1037])
sorted_opacity shape: torch.Size([1196, 1]), gauss_weight shape: torch.Size([64, 1196])
sorted_opacity shape: torch.Size([1366, 1]), gauss_weight shape: torch.Size([64, 1366])
sorted_opacity shape: torch.Size([1524, 1]), gauss_weight shape: torch.Size([64, 1524])
sorted_opacity shape: torch.Size([1706, 1]), gauss_weight shape: torch.Size([64, 1706])
