sorted_opacity shape: torch.Size([38, 1]), gauss_weight shape: torch.Size([64, 38])
sorted_opacity shape: torch.Size([27, 1]), gauss_weight shape: torch.Size([64, 27])
sorted_opacity shape: torch.Size([45, 1]), gauss_weight shape: torch.Size([64, 45])
sorted_opacity shape: torch.Size([64, 1]), gauss_weight shape: torch.Size([64, 64])
sorted_opacity shape: torch.Size([78, 1]), gauss_weight shape: torch.Size([64, 78])
sorted_opacity shape: torch.Size([118, 1]), gauss_weight shape: torch.Size([64, 118])
sorted_opacity shape: torch.Size([200, 1]), gauss_weight shape: torch.Size([64, 200])
sorted_opacity shape: torch.Size([338, 1]), gauss_weight shape: torch.Size([64, 338])
sorted_opacity shape: torch.Size([500, 1]), gauss_weight shape: torch.Size([64, 500])
sorted_opacity shape: torch.Size([655, 1]), gauss_weight shape: torch.Size([64, 655])
sorted_opacity shape: torch.Size([820, 1]), gauss_weight shape: torch.Size([64, 820])
sorted_opacity shape: torch.Size([975, 1]), gauss_weight shape: torch.Size([64, 975])
sorted_opacity shape: torch.Size([1137, 1]), gauss_weight shape: torch.Size([64, 1137])
sorted_opacity shape: torch.Size([1281, 1]), gauss_weight shape: torch.Size([64, 1281])
sorted_opacity shape: torch.Size([1400, 1]), gauss_weight shape: torch.Size([64, 1400])
sorted_opacity shape: torch.Size([1475, 1]), gauss_weight shape: torch.Size([64, 1475])
sorted_opacity shape: torch.Size([1532, 1]), gauss_weight shape: torch.Size([64, 1532])
sorted_opacity shape: torch.Size([1531, 1]), gauss_weight shape: torch.Size([64, 1531])
sorted_opacity shape: torch.Size([1464, 1]), gauss_weight shape: torch.Size([64, 1464])
sorted_opacity shape: torch.Size([1380, 1]), gauss_weight shape: torch.Size([64, 1380])
sorted_opacity shape: torch.Size([1269, 1]), gauss_weight shape: torch.Size([64, 1269])
sorted_opacity shape: torch.Size([1106, 1]), gauss_weight shape: torch.Size([64, 1106])
sorted_opacity shape: torch.Size([932, 1]), gauss_weight shape: torch.Size([64, 932])
sorted_opacity shape: torch.Size([779, 1]), gauss_weight shape: torch.Size([64, 779])
sorted_opacity shape: torch.Size([633, 1]), gauss_weight shape: torch.Size([64, 633])
sorted_opacity shape: torch.Size([467, 1]), gauss_weight shape: torch.Size([64, 467])
sorted_opacity shape: torch.Size([337, 1]), gauss_weight shape: torch.Size([64, 337])
sorted_opacity shape: torch.Size([195, 1]), gauss_weight shape: torch.Size([64, 195])
sorted_opacity shape: torch.Size([114, 1]), gauss_weight shape: torch.Size([64, 114])
sorted_opacity shape: torch.Size([64, 1]), gauss_weight shape: torch.Size([64, 64])
sorted_opacity shape: torch.Size([43, 1]), gauss_weight shape: torch.Size([64, 43])
sorted_opacity shape: torch.Size([31, 1]), gauss_weight shape: torch.Size([64, 31])
sorted_opacity shape: torch.Size([47, 1]), gauss_weight shape: torch.Size([64, 47])
sorted_opacity shape: torch.Size([67, 1]), gauss_weight shape: torch.Size([64, 67])
sorted_opacity shape: torch.Size([84, 1]), gauss_weight shape: torch.Size([64, 84])
sorted_opacity shape: torch.Size([139, 1]), gauss_weight shape: torch.Size([64, 139])
sorted_opacity shape: torch.Size([233, 1]), gauss_weight shape: torch.Size([64, 233])
sorted_opacity shape: torch.Size([379, 1]), gauss_weight shape: torch.Size([64, 379])
sorted_opacity shape: torch.Size([540, 1]), gauss_weight shape: torch.Size([64, 540])
sorted_opacity shape: torch.Size([703, 1]), gauss_weight shape: torch.Size([64, 703])
sorted_opacity shape: torch.Size([872, 1]), gauss_weight shape: torch.Size([64, 872])
sorted_opacity shape: torch.Size([1026, 1]), gauss_weight shape: torch.Size([64, 1026])
sorted_opacity shape: torch.Size([1190, 1]), gauss_weight shape: torch.Size([64, 1190])
sorted_opacity shape: torch.Size([1333, 1]), gauss_weight shape: torch.Size([64, 1333])
sorted_opacity shape: torch.Size([1461, 1]), gauss_weight shape: torch.Size([64, 1461])
sorted_opacity shape: torch.Size([1533, 1]), gauss_weight shape: torch.Size([64, 1533])
sorted_opacity shape: torch.Size([1590, 1]), gauss_weight shape: torch.Size([64, 1590])
sorted_opacity shape: torch.Size([1585, 1]), gauss_weight shape: torch.Size([64, 1585])
sorted_opacity shape: torch.Size([1510, 1]), gauss_weight shape: torch.Size([64, 1510])
sorted_opacity shape: torch.Size([1423, 1]), gauss_weight shape: torch.Size([64, 1423])
sorted_opacity shape: torch.Size([1316, 1]), gauss_weight shape: torch.Size([64, 1316])
sorted_opacity shape: torch.Size([1162, 1]), gauss_weight shape: torch.Size([64, 1162])
sorted_opacity shape: torch.Size([985, 1]), gauss_weight shape: torch.Size([64, 985])
sorted_opacity shape: torch.Size([839, 1]), gauss_weight shape: torch.Size([64, 839])
sorted_opacity shape: torch.Size([678, 1]), gauss_weight shape: torch.Size([64, 678])
